P1,01_redis数据类型_概述.mp4,d55077aac2aafcbe9f56ea777b04985c.mp4,00:03:27
P2,02_redis数据类型_String.mp4,54b5ae7d61ab67a0ce0c437b6c257414.mp4,00:08:19
P3,03_redis数据类型_List.mp4,f78065fc3086c6f2274a8f2a201d9359.mp4,00:08:59
P4,04_redis数据类型_Hash.mp4,7cd061088e7197fe53a66de35897ae56.mp4,00:09:12
P5,05_redis数据类型_SortedSet.mp4,82d376afd8f6c8dce39afc7504699038.mp4,00:08:23
P6,06_redis数据类型_跳表查询.mp4,2f84c754f1e595961876245d02f20a69.mp4,00:04:01
P7,07_redis_keys命令的问题.mp4,33110fd94ef666ce3e315231e8f82b60.mp4,00:07:37
P8,08_redis_过期key的删除策略.mp4,c58b36955d8b9a25fba00b2b9bbe7a63.mp4,00:08:05
P9,09_redis持久化_aof.mp4,a23d6ac018b9daa9f4439faead288ce6.mp4,00:07:56
P10,10_redis持久化_aof重写.mp4,d7b217ea1f6d1c5338e2b625a31e4b65.mp4,00:05:47
P11,11_redis持久化_rdb.mp4,d4423009d7c5a6897f2eb7e8097166a6.mp4,00:06:19
P12,12_redis持久化_混合持久化.mp4,eb36feb325fd8431950cba1fd842d276.mp4,00:03:18
P13,13_redis_缓存击穿.mp4,11610490d30a4600ec47eba8031af36b.mp4,00:05:46
P14,14_redis_缓存雪崩.mp4,b6d9247b105456139d817e70fdf6491d.mp4,00:05:21
P15,15_redis_缓存穿透.mp4,33e9621a53aabb382b14de1def590c54.mp4,00:07:16
P16,16_缓存一致性_不能先清缓存.mp4,adba3b436ed21712a618515b73ea5445.mp4,00:04:41
P17,17_缓存一致性_先更新库方案.mp4,ca38e3962bd3088112c30d52bb4fb725.mp4,00:04:19
P18,18_缓存一致性_先更新库方案.mp4,e05670610a49a21dae0aa4cb414ad5e7.mp4,00:03:48
P19,19_缓存一致性_锁方案.mp4,43f9f0d047d9040e954ca58c0d0ef8b2.mp4,00:03:58
P20,20_redis_事务_不支持回滚.mp4,cd8ad7f362b79ae93b921a56e19e1027.mp4,00:04:13
P21,21_redis_事务_读写不是原子的.mp4,9338cb2d05a0ccb57f145185abbdda7a.mp4,00:06:12
P22,22_redis_事务_乐观锁保证原子性.mp4,7da3f7c47113fbf27bf23496e03981d3.mp4,00:04:28
P23,23_redis_事务_lua脚本原子性.mp4,b40c01e24646a7254351b0d27568ed54.mp4,00:06:37
P24,24_lru_演示.mp4,6c06778817d3b96d91b39fd4eab20cf3.mp4,00:09:56
P25,25_lru_实现_断开节点链接.mp4,4a7ca97377c16c9160b4db9533d65a4f.mp4,00:03:33
P26,26_lru_实现_链入头节点.mp4,ab1f306a13b5713f5acc62e4eb2ab9b2.mp4,00:04:31
P27,27_lru_实现_删除_查询_新增.mp4,ea7d67f3651c2aa909752126ad57f111.mp4,00:09:03
P28,28_lru_实现_测试.mp4,4b225919e561b4c029b53ce2784d8c24.mp4,00:04:22
P29,29_lru_LinkedHashMap实现.mp4,12ea0d5c2b8d1cb0247b5166efcf94cf.mp4,00:06:11